timestamp,digit,key_down_time,key_up_time,dwell_time_ms,flight_time_ms,touch_x,touch_y,touch_size,attempt_number
1772088586384,3,1772088586384,1772088586385,1,0,102.203125,111.84082,12.044036,1
1772088588181,8,1772088588181,1772088588194,13,1796,105.21875,86.83008,14.166234,1
1772088588587,2,1772088588587,1772088588588,1,393,129.4668,122.34082,36.97843,1
1772088590678,9,1772088590678,1772088590698,20,2090,84.5791,149.07812,51.44382,1
1772088590982,4,1772088590982,1772088591024,42,284,82.98535,134.33496,38.31955,1
1772088591172,6,1772088591172,1772088591197,25,148,101.078125,126.45996,26.481916,1
1772088593663,3,1772088593663,1772088593688,25,2466,93.828125,121.58984,22.454697,2
1772088594481,8,1772088594481,1772088594504,23,793,98.96875,132.95215,32.96828,2
1772088594942,2,1772088594942,1772088594966,24,438,77.71973,162.33887,66.20079,2
1772088595855,9,1772088595855,1772088595866,11,889,59.58008,102.453125,40.494297,2
1772088596154,4,1772088596154,1772088596193,39,288,114.4834,125.583984,29.399134,2
1772088596278,6,1772088596278,1772088596321,43,85,96.078125,90.70996,10.083944,2
1772088599800,3,1772088599800,1772088599828,28,3479,75.08008,103.83984,25.214022,3
1772088600551,8,1772088600551,1772088600583,32,723,101.09375,123.328125,23.353752,3
1772088601027,2,1772088601027,1772088601038,11,444,118.96777,122.83984,29.688969,3
1772088601531,9,1772088601531,1772088601566,35,493,70.08008,130.70215,42.869846,3
1772088601696,4,1772088601696,1772088601744,48,130,72.61133,135.33301,44.705265,3
1772088601930,6,1772088601930,1772088601963,33,186,60.70508,128.83398,48.738995,3
1772088604196,3,1772088604196,1772088604222,26,2233,112.70215,96.21387,13.25441,4
1772088604703,8,1772088604703,1772088604727,24,481,100.34375,118.20117,18.204418,4
1772088605183,2,1772088605183,1772088605204,21,456,123.34277,93.21387,24.309189,4
1772088605621,9,1772088605621,1772088605649,28,417,98.203125,108.45215,8.64104,4
1772088605720,4,1772088605720,1772088605764,44,71,60.98633,109.83301,40.23375,4
1772088605923,6,1772088605923,1772088605944,21,159,55.456055,83.58301,47.472946,4
1772088607532,3,1772088607532,1772088607575,43,1588,100.078125,129.46289,29.462996,5
1772088608250,8,1772088608250,1772088608284,34,675,96.84375,131.57617,31.733524,5
1772088608557,2,1772088608557,1772088608580,23,273,122.34277,145.21289,50.432182,5
1772088609112,9,1772088609112,1772088609149,37,532,92.328125,120.70117,22.077051,5
1772088609238,4,1772088609238,1772088609274,36,89,67.36133,119.33203,37.93429,5
1772088609445,6,1772088609445,1772088609472,27,171,80.7041,106.20801,20.269955,5
