timestamp,touch_type,start_x,start_y,end_x,end_y,pressure,touch_size,duration_ms,velocity,acceleration,hold_duration_ms,touch_area
1772090787755,SWIPE_DOWN,203.23633,518.1045,107.17871,841.5332,1.0,1.0,240,1439.2286,620.8902,240,1.0
1772090783456,TAP,350.10254,1761.8223,350.10254,1761.8223,1.0,1.0,49,0.0,0.0,49,1.0
1772090782431,SWIPE_UP,502.34375,1575.7021,627.02344,1046.1533,1.0,1.0,176,3132.8567,655.47687,176,1.0
1772090781879,TAP,369.85156,1720.9482,369.85156,1720.9482,1.0,1.0,35,0.0,0.0,35,1.0
1772090781296,TAP,318.7295,1561.7021,318.7295,1561.7021,1.0,1.0,29,0.0,0.0,29,1.0
1772090780517,TAP,348.35254,1561.2021,348.35254,1561.2021,1.0,1.0,38,0.0,0.0,38,1.0
1772090779996,SWIPE_UP,450.59668,1570.3271,545.0547,1201.4385,1.0,1.0,210,2159.2964,599.0258,210,1.0
1772090779375,TAP,555.2158,1575.9521,555.2158,1575.9521,1.0,1.0,35,0.0,0.0,35,1.0
1772090778697,TAP,671.084,1563.7021,671.084,1563.7021,1.0,1.0,60,0.0,0.0,60,1.0
1772090778159,SWIPE_UP,713.45605,1462.8301,845.6992,882.9697,1.0,1.0,231,2627.1558,629.5989,231,1.0
1772090777850,TAP,398.8496,1660.3242,398.8496,1660.3242,1.0,1.0,40,0.0,0.0,40,1.0
1772090776333,TAP,398.0996,1411.331,398.0996,1411.331,1.0,1.0,33,0.0,0.0,33,1.0
1772090775636,SWIPE_UP,694.208,1486.0791,797.7012,957.7178,1.0,1.0,265,2074.4915,628.14746,265,1.0
1772090775230,TAP,830.0742,1474.9541,830.0742,1474.9541,1.0,1.0,42,0.0,0.0,42,1.0
1772090774412,TAP,740.4551,1251.335,740.4551,1251.335,1.0,1.0,37,0.0,0.0,37,1.0
1772090773460,SWIPE_UP,633.83594,1577.7021,805.1387,885.2197,1.0,1.0,265,2704.1772,483.71646,265,1.0
1772090773126,TAP,384.8506,1313.834,384.8506,1313.834,1.0,1.0,43,0.0,0.0,43,1.0
1772090772200,TAP,830.1992,1063.8398,830.1992,1063.8398,1.0,1.0,44,0.0,0.0,44,1.0
1772090770982,SWIPE_UP,702.20703,1668.5742,824.2627,872.7197,1.0,1.0,333,1464.8234,337.7879,333,1.0
1772090769750,TAP,792.95215,1680.6992,792.95215,1680.6992,1.0,1.0,44,0.0,0.0,44,1.0
