Feature,Importance
dev_motion_accel_y_mean_abs,0.09066513984675682
dev_motion_accel_z_mean_rel,0.0774652500079763
dev_motion_accel_y_mean_rel,0.07487084307394014
dev_motion_accel_z_mean_abs,0.0730697976143199
dev_touch_tap_ratio_rel,0.0602825045271067
dev_motion_accel_mag_mean_abs,0.05845015981859935
dev_touch_tap_ratio_abs,0.044669949500668535
dev_motion_accel_mag_mean_rel,0.03812686867867934
dev_motion_accel_x_mean_abs,0.02571811683529003
overall_rel_deviation,0.021216320923551458
dev_motion_accel_x_mean_rel,0.019850523260193004
dev_pin_dwell_mean_abs,0.019658977444700854
dev_motion_gyro_mag_mean_rel,0.018676230237046693
raw_touch_tap_ratio,0.016181333157871975
raw_motion_gyro_mag_std,0.01607863080869449
dev_pin_dwell_q75_abs,0.015486358415969166
dev_pin_touch_y_mean_rel,0.013784723563905796
dev_pin_touch_y_mean_abs,0.013573703853927154
dev_pin_dwell_mean_rel,0.012886258006392419
raw_touch_velocity_mean,0.011515512166444156
dev_pin_rhythm_d3_abs,0.010044530086263912
dev_motion_accel_mag_std_rel,0.009978592148476592
raw_touch_duration_std,0.009263808299749834
dev_pin_dwell_median_rel,0.008682137677406956
dev_touch_velocity_mean_abs,0.008676247600274833
dev_pin_dwell_median_abs,0.00862952978117993
dev_pin_dwell_q75_rel,0.008554025931247797
dev_pin_touch_x_mean_rel,0.007646181247860037
raw_motion_accel_mag_std,0.007429367539823775
dev_pin_touch_size_mean_abs,0.007232334851919725
dev_motion_gyro_mag_mean_abs,0.007211920863336489
dev_motion_accel_mag_std_abs,0.006695176502924991
dev_pin_dwell_q25_abs,0.005306888990384518
dev_pin_rhythm_d3_rel,0.004205284859601882
raw_pin_dwell_iqr,0.004194421943944746
raw_touch_duration_mean,0.004169590123654354
dev_pin_rhythm_d1_abs,0.004037405640326853
dev_pin_rhythm_d5_abs,0.003932510075092639
dev_motion_gyro_mag_std_rel,0.0038835008729543523
dev_touch_duration_std_abs,0.0038031027470337153
dev_pin_touch_x_mean_abs,0.0037631277614459165
dev_touch_duration_mean_abs,0.003667386328518883
dev_touch_velocity_mean_rel,0.0035906143065843935
raw_touch_velocity_max,0.0033634628157219793
dev_pin_touch_size_mean_rel,0.0032214637270136176
dev_pin_dwell_q25_rel,0.003203915965913204
dev_touch_duration_std_rel,0.0031719035782016747
dev_pin_touch_y_std_rel,0.0029740070163765922
raw_pin_dwell_skew,0.002907523795585542
raw_pin_dwell_std,0.00282866619511508
raw_pin_touch_x_std,0.0027993083529172015
dev_pin_rhythm_d5_rel,0.002681336846185008
dev_pin_rhythm_d2_rel,0.00260882133242865
raw_touch_accel_mean,0.002430215623121465
raw_motion_gyro_mag_mean,0.0024194815323955853
dev_pin_rhythm_d2_abs,0.0024189751275484972
raw_motion_accel_x_mean,0.0024154005016825135
raw_pin_touch_x_mean,0.002350246812372927
