timestamp,digit,key_down_time,key_up_time,dwell_time_ms,flight_time_ms,touch_x,touch_y,touch_size,attempt_number
1772124007009,3,1772124007009,1772124007039,30,0,92.7969,126.14758,51.87331,1
1772124007224,8,1772124007224,1772124007270,46,185,91.04956,70.53784,43.64393,1
1772124007717,2,1772124007717,1772124007761,44,447,97.05767,96.07703,29.32481,1
1772124008729,9,1772124008729,1772124008752,23,968,109.37949,94.59873,90.04953,1
1772124008802,4,1772124008802,1772124008835,33,50,117.11357,107.91541,41.78464,1
1772124009257,6,1772124009257,1772124009299,42,422,129.75303,71.56382,11.12007,1
1772124010866,3,1772124010866,1772124010902,36,200,94.12506,87.43209,22.80243,2
1772124010962,8,1772124010962,1772124010986,24,60,105.76944,107.03762,33.51609,2
1772124011478,2,1772124011478,1772124011508,30,492,107.22063,113.56863,36.00763,2
1772124011962,9,1772124011962,1772124011989,27,454,57.02512,116.7546,42.29429,2
1772124012468,4,1772124012468,1772124012484,16,479,91.64859,92.92126,57.65048,2
1772124012534,6,1772124012534,1772124012579,45,50,102.96879,87.34107,27.50818,2
1772124015153,3,1772124015153,1772124015209,56,918,56.43337,103.84089,43.28004,3
1772124015352,8,1772124015352,1772124015404,52,143,89.07978,115.64598,26.99106,3
1772124015567,2,1772124015567,1772124015624,57,163,103.72357,86.51191,42.39344,3
1772124015674,9,1772124015674,1772124015694,20,50,85.75835,96.64772,42.85793,3
1772124016162,4,1772124016162,1772124016186,24,468,101.51015,59.16719,53.2291,3
1772124016236,6,1772124016236,1772124016282,46,50,97.83772,122.5405,34.66233,3
