timestamp,digit,key_down_time,key_up_time,dwell_time_ms,flight_time_ms,touch_x,touch_y,touch_size,attempt_number
1773662348587,3,1773662348587,1773662348639,52,0,128.54684,89.59454,17.06533,1
1773662349258,8,1773662349258,1773662349320,62,619,130.22797,101.19678,40.18237,1
1773662349777,2,1773662349777,1773662349812,35,457,124.07262,101.21019,36.78807,1
1773662349842,9,1773662349842,1773662349887,45,30,113.37639,57.57227,50.93209,1
1773662350122,4,1773662350122,1773662350134,12,235,87.93077,75.70358,38.37252,1
1773662351303,6,1773662351303,1773662351369,66,1169,155.42975,66.48843,50.77717,1
1773662354794,3,1773662354794,1773662354826,32,938,133.30656,82.81298,28.07155,2
1773662354991,8,1773662354991,1773662355061,70,165,89.69316,164.64161,47.84596,2
1773662355091,2,1773662355091,1773662355132,41,30,109.76503,78.41463,40.21404,2
1773662355162,9,1773662355162,1773662355209,47,30,104.82682,69.05633,1,2
1773662356151,4,1773662356151,1773662356191,40,942,124.53923,89.05839,9.59462,2
1773662356221,6,1773662356221,1773662356275,54,30,86.59808,98.54039,84.92548,2
1773662357793,3,1773662357793,1773662357842,49,279,58.97117,137.23705,6.85505,3
1773662359523,8,1773662359523,1773662359589,66,1681,102.74626,82.02136,81.82509,3
1773662360603,2,1773662360603,1773662360643,40,1014,107.52584,100.69428,64.39825,3
1773662360673,9,1773662360673,1773662360719,46,30,104.67006,127.27266,41.34519,3
1773662361790,4,1773662361790,1773662361874,84,1071,87.89296,103.20446,43.3561,3
1773662362976,6,1773662362976,1773662363041,65,1102,128.80537,113.56116,1,3
