timestamp,digit,key_down_time,key_up_time,dwell_time_ms,flight_time_ms,touch_x,touch_y,touch_size,attempt_number
1773662312880,3,1773662312880,1773662312918,38,0,109.48192,156.38591,48.69531,1
1773662313850,8,1773662313850,1773662313886,36,932,104.08837,77.18662,51.37868,1
1773662314670,2,1773662314670,1773662314718,48,784,134.26003,46.86623,49.52136,1
1773662315850,9,1773662315850,1773662315896,46,1132,127.91638,131.91986,36.44498,1
1773662316046,4,1773662316046,1773662316095,49,150,157.92875,119.49006,29.71508,1
1773662317570,6,1773662317570,1773662317609,39,1475,112.29946,78.90644,17.15029,1
1773662320251,3,1773662320251,1773662320311,60,774,129.52768,45.17857,39.35109,2
1773662321357,8,1773662321357,1773662321399,42,1046,81.89936,66.31059,25.96952,2
1773662321718,2,1773662321718,1773662321771,53,319,113.55003,142.87144,38.71767,2
1773662322688,9,1773662322688,1773662322755,67,917,160.99363,98.95428,53.82181,2
1773662323962,4,1773662323962,1773662324030,68,1207,134.2815,84.92122,51.8795,2
1773662325187,6,1773662325187,1773662325233,46,1157,179.03311,138.12333,42.60189,2
1773662328406,3,1773662328406,1773662328446,40,1161,145.49454,59.66864,26.36615,3
1773662328911,8,1773662328911,1773662328972,61,465,135.27787,81.77587,28.83892,3
1773662329241,2,1773662329241,1773662329305,64,269,146.22366,92.06793,43.44376,3
1773662330314,9,1773662330314,1773662330363,49,1009,113.65968,141.26849,39.72567,3
1773662330789,4,1773662330789,1773662330829,40,426,111.35136,105.31208,65.92663,3
1773662332513,6,1773662332513,1773662332575,62,1684,110.24695,123.63241,63.04044,3
