timestamp,digit,key_down_time,key_up_time,dwell_time_ms,flight_time_ms,touch_x,touch_y,touch_size,attempt_number
1772124648416,3,1772124648416,1772124648481,65,0,92.75755,83.55673,17.29941,1
1772124650136,8,1772124650136,1772124650214,78,1655,111.67823,118.13864,19.55412,1
1772124651013,2,1772124651013,1772124651066,53,799,116.12766,73.25632,33.46921,1
1772124651764,9,1772124651764,1772124651811,47,698,103.90042,91.36587,8.10797,1
1772124652641,4,1772124652641,1772124652718,77,830,96.38076,70.65877,36.03126,1
1772124653592,6,1772124653592,1772124653636,44,874,91.51003,103.95015,29.22926,1
1772124655853,3,1772124655853,1772124655957,104,1555,73.63898,75.40559,21.23683,2
1772124657523,8,1772124657523,1772124657574,51,1566,95.65048,54.80618,30.55569,2
1772124658649,2,1772124658649,1772124658700,51,1075,115.91226,114.4761,34.79302,2
1772124659550,9,1772124659550,1772124659598,48,850,107.50268,88.03979,37.87919,2
1772124660758,4,1772124660758,1772124660843,85,1160,104.33556,79.24994,46.57474,2
1772124661607,6,1772124661607,1772124661674,67,764,106.00306,76.99403,37.11978,2
1772124664742,3,1772124664742,1772124664805,63,2225,72.53522,120.18184,23.701,3
1772124665856,8,1772124665856,1772124665916,60,1051,79.37702,91.60016,14.53791,3
1772124666987,2,1772124666987,1772124667048,61,1071,109.85367,97.35217,12.72468,3
1772124667965,9,1772124667965,1772124668029,64,917,120.44779,73.80777,46.63728,3
1772124668100,4,1772124668100,1772124668157,57,71,90.83947,102.92153,34.39294,3
1772124668660,6,1772124668660,1772124668738,78,503,84.03865,92.05925,32.91464,3
1772124671615,3,1772124671615,1772124671697,82,1384,94.53779,118.90485,37.44861,4
1772124672769,8,1772124672769,1772124672803,34,1072,132.64352,109.81783,18.0881,4
1772124673959,2,1772124673959,1772124674000,41,1156,100.64818,98.56555,23.98688,4
1772124674170,9,1772124674170,1772124674250,80,170,107.00235,111.51043,24.40644,4
1772124674831,4,1772124674831,1772124674912,81,581,120.99864,94.69593,39.55203,4
1772124675309,6,1772124675309,1772124675360,51,397,113.39112,86.53558,49.40514,4
1772124677464,3,1772124677464,1772124677534,70,1511,103.99267,93.66372,35.04963,5
1772124678436,8,1772124678436,1772124678504,68,902,92.96763,91.56346,38.82089,5
1772124679269,2,1772124679269,1772124679347,78,765,115.28734,68.31489,49.89431,5
1772124680648,9,1772124680648,1772124680707,59,1301,90.87995,141.72329,38.20911,5
1772124681527,4,1772124681527,1772124681591,64,820,102.08498,144.08561,23.58097,5
1772124682211,6,1772124682211,1772124682266,55,620,84.68045,106.84796,34.24774,5
