timestamp,digit,key_down_time,key_up_time,dwell_time_ms,flight_time_ms,touch_x,touch_y,touch_size,attempt_number
1772124653965,3,1772124653965,1772124654014,49,0,108.10032,99.83177,22.87892,1
1772124654488,8,1772124654488,1772124654552,64,474,100.92576,103.00887,36.30199,1
1772124655466,2,1772124655466,1772124655514,48,914,78.1285,107.26968,44.30331,1
1772124656266,9,1772124656266,1772124656303,37,752,101.47147,87.68502,30.18165,1
1772124657495,4,1772124657495,1772124657557,62,1192,94.38746,103.60771,19.06512,1
1772124658012,6,1772124658012,1772124658088,76,455,99.56151,86.99677,55.03741,1
1772124661719,3,1772124661719,1772124661761,42,1817,103.81278,91.54401,12.72268,2
1772124662542,8,1772124662542,1772124662647,105,781,102.08019,64.10403,37.59872,2
1772124664011,2,1772124664011,1772124664084,73,1364,121.3845,123.43073,29.06508,2
1772124665048,9,1772124665048,1772124665107,59,964,106.96233,89.14131,28.45124,2
1772124665619,4,1772124665619,1772124665673,54,512,97.10648,90.0079,30.72766,2
1772124666564,6,1772124666564,1772124666648,84,891,123.2842,106.51059,34.16676,2
1772124669694,3,1772124669694,1772124669750,56,1296,65.26192,120.17041,33.99429,3
1772124670566,8,1772124670566,1772124670662,96,816,108.7441,102.9831,49.77401,3
1772124671750,2,1772124671750,1772124671810,60,1088,121.59925,82.78399,54.87088,3
1772124672551,9,1772124672551,1772124672623,72,741,87.99312,73.31212,33.19761,3
1772124674607,4,1772124674607,1772124674653,46,1984,97.97053,117.57022,35.19926,3
1772124675123,6,1772124675123,1772124675196,73,470,135.35953,121.00481,45.19404,3
