timestamp,digit,key_down_time,key_up_time,dwell_time_ms,flight_time_ms,touch_x,touch_y,touch_size,attempt_number
1773662322020,3,1773662322020,1773662322088,68,0,105.03919,97.43477,22.21817,1
1773662323550,8,1773662323550,1773662323647,97,1462,183.83847,60.13281,31.75221,1
1773662323677,2,1773662323677,1773662323747,70,30,113.35155,80.57533,52.12611,1
1773662324779,9,1773662324779,1773662324854,75,1032,75.75991,117.08906,64.96327,1
1773662326425,4,1773662326425,1773662326501,76,1571,115.27629,74.24082,46.60338,1
1773662327088,6,1773662327088,1773662327182,94,587,121.32916,68.95733,28.38007,1
1773662328910,3,1773662328910,1773662328980,70,919,74.47557,114.99301,31.99651,2
1773662330450,8,1773662330450,1773662330530,80,1470,96.9534,121.20684,37.50108,2
1773662331407,2,1773662331407,1773662331478,71,877,83.22785,65.51518,19.65644,2
1773662332448,9,1773662332448,1773662332507,59,970,122.94618,56.12648,58.57833,2
1773662334040,4,1773662334040,1773662334131,91,1533,85.23714,89.9603,39.38302,2
1773662335761,6,1773662335761,1773662335826,65,1630,92.09733,106.81095,28.71222,2
1773662339159,3,1773662339159,1773662339233,74,2061,114.5584,90.47117,33.95558,3
1773662341444,8,1773662341444,1773662341534,90,2211,45.00833,73.22321,36.48979,3
1773662342918,2,1773662342918,1773662342976,58,1384,79.41331,66.94763,44.61704,3
1773662344093,9,1773662344093,1773662344167,74,1117,142.70304,88.45014,28.42421,3
1773662345587,4,1773662345587,1773662345692,105,1420,111.91718,75.60162,23.50652,3
1773662346365,6,1773662346365,1773662346458,93,673,111.64921,56.55899,38.01547,3
1773662349418,3,1773662349418,1773662349475,57,579,103.50075,109.034,43.98646,4
1773662350602,8,1773662350602,1773662350674,72,1127,138.4707,111.24577,36.25403,4
1773662350704,2,1773662350704,1773662350776,72,30,104.8519,100.27966,26.37853,4
1773662351023,9,1773662351023,1773662351085,62,247,124.0647,76.5768,56.62419,4
1773662351354,4,1773662351354,1773662351448,94,269,96.0217,62.83902,24.91149,4
1773662352070,6,1773662352070,1773662352144,74,622,101.72654,98.63838,45.12761,4
1773662354143,3,1773662354143,1773662354212,69,835,116.88101,104.27637,34.87477,5
1773662356068,8,1773662356068,1773662356155,87,1856,85.64535,80.71652,16.5719,5
1773662356983,2,1773662356983,1773662357035,52,828,76.51156,92.49552,39.84371,5
1773662357848,9,1773662357848,1773662357900,52,813,97.99568,108.31883,21.89186,5
1773662359551,4,1773662359551,1773662359652,101,1651,126.08207,83.69198,3.70175,5
1773662361583,6,1773662361583,1773662361656,73,1931,71.35683,103.18945,8.11218,5
