participant_id,age_group,age,gender,is_synthetic
P01,18-25,22,Female,False
P02,18-25,24,Female,False
P03,18-25,18,Male,False
P04,18-25,23,Male,False
P05,26-35,34,Female,False
P06,26-35,31,Female,False
P07,26-35,28,Male,False
P08,26-35,30,Male,False
P09,18-25,25,Male,True
P10,18-25,22,Male,True
P11,18-25,23,Male,True
P12,18-25,21,Female,True
P13,18-25,21,Female,True
P14,18-25,24,Female,True
P15,18-25,23,Female,True
P16,18-25,22,Female,True
P17,18-25,19,Female,True
P18,18-25,18,Male,True
P19,26-35,33,Male,True
P20,26-35,34,Male,True
P21,26-35,32,Female,True
P22,26-35,32,Male,True
P23,26-35,28,Male,True
P24,26-35,29,Female,True
P25,26-35,32,Female,True
P26,26-35,28,Female,True
P27,26-35,28,Male,True
P28,26-35,33,Female,True
P29,36-45,38,Female,True
P30,36-45,36,Male,True
P31,36-45,43,Female,True
P32,36-45,39,Male,True
P33,36-45,45,Male,True
P34,36-45,43,Male,True
P35,36-45,38,Female,True
P36,46-55,52,Female,True
P37,46-55,52,Female,True
P38,46-55,52,Male,True
P39,46-55,46,Male,True
P40,46-55,51,Male,True
